Run Name,Chain pickerel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date & Time,3/11/2019 14:51 UTC +0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,1,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel,green,red,green,red,green,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threshold,0.031954741123878305,0.06133250527286216,0.2975499073860025,0.23891673999722163,0.31785774033296477,0.1857165279823917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cq,0.00,30.83,37.00,33.12,38.80,32.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Subtracted Relative Fluorescence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol,Southern pike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temp,Time(ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reverse Transcription,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denature,95,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycles,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling Denature,95,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anneal,59,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Tag,"Wellington, ON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.52930701,Longitude,-80.23361415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
