Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
23,22.017624,22.254482,22.648276,25.399026,21.609298,13.473298,12.851364,13.188487,13.713062,13.030097,14.682291,9.67921,9.840506,10.03813,10.041036,10.171817,9.565867,9.279603,8.401921,8.651857,9.240369,9.153182,9.416196,9.34354,8.599544,9.43218,9.321743,9.49757,9.09651,8.775371,9.416196,9.250541,8.91923,8.64895,9.267978,9.164807,8.80734,8.862558,8.45278,8.898886,8.550138,8.903246,9.449618,8.521076,8.390296,9.362431,9.122666,8.746309
24,24.793076,25.063356,25.518182,28.715038,24.615796,15.663144,14.849399,15.270803,15.939237,15.126944,17.058136,10.083176,10.389784,10.584502,10.615017,10.567064,10.08027,9.356618,8.462951,8.708528,9.289775,9.230197,9.494664,9.400212,8.6257,9.467055,9.353712,9.519367,9.112495,8.792809,9.429274,9.275244,8.933761,8.664935,9.279603,9.170619,8.811699,8.842215,8.461498,8.927949,8.563216,8.923589,9.458336,8.510904,8.372858,9.368243,9.108135,8.743403
25,27.599045,27.930355,28.43168,32.097894,27.72256,18.19738,17.277557,17.70332,18.515612,17.539118,19.832136,10.773407,11.280545,11.4927,11.55809,11.239857,10.907094,9.449618,8.557404,8.816059,9.398759,9.342087,9.597836,9.437993,8.646044,9.477227,9.371149,9.523727,9.11976,8.794262,9.429274,9.294134,8.930855,8.680919,9.276697,9.193869,8.811699,8.850934,8.467311,8.938121,8.56467,8.923589,9.475774,8.51381,8.378671,9.369696,9.111041,8.749215
26,30.473309,30.840948,31.404757,35.498187,30.871463,20.937958,20.068994,20.382867,21.378252,20.217212,22.854619,11.853073,12.647927,12.870254,12.945816,12.345679,12.185836,9.641429,8.725966,8.983167,9.549883,9.54407,9.794006,9.446711,8.659122,9.507742,9.41329,9.571679,9.164807,8.829137,9.440899,9.295587,8.933761,8.698356,9.313025,9.230197,8.811699,8.852387,8.45278,8.970089,8.567576,8.941027,9.507742,8.542873,8.40628,9.398759,9.140104,8.779731
27,33.279278,33.719572,34.316803,38.881042,33.992758,23.848551,23.052243,23.175758,24.330985,22.989759,25.986085,13.490735,14.570401,14.820337,14.93368,13.978982,13.987701,9.985818,9.018042,9.27815,9.85649,9.892818,10.147114,9.49757,8.698356,9.561508,9.462696,9.626898,9.188057,8.821871,9.437993,9.314478,8.946839,8.714341,9.32029,9.238916,8.810246,8.855293,8.473123,8.975902,8.570482,8.949745,9.509195,8.535607,8.391749,9.400212,9.137198,8.78845
28,36.095418,36.570587,37.215771,42.278429,37.114052,26.818721,26.134303,26.038397,27.350562,25.88582,29.203285,15.644254,16.940434,17.215073,17.354572,16.107798,16.226954,10.552533,9.52082,9.799819,10.356362,10.469706,10.742891,9.552789,8.731778,9.610914,9.517914,9.689382,9.262166,8.862558,9.462696,9.334821,8.954105,8.7187,9.359524,9.281056,8.837855,8.855293,8.464405,8.986073,8.557404,8.943933,9.515008,8.551592,8.385936,9.41329,9.151729,8.779731
29,38.901386,39.402711,40.063879,45.588629,40.262956,29.841204,29.296285,28.893772,30.361419,28.664179,32.445189,18.229348,19.696996,19.989073,20.154728,18.720502,18.790251,11.517403,10.365081,10.678954,11.242764,11.485434,11.745542,9.699554,8.840762,9.735882,9.651601,9.792553,9.353712,8.859652,9.487399,9.369696,8.972995,8.715794,9.347899,9.267978,8.85384,8.882902,8.499279,9.034026,8.571935,8.967183,9.506289,8.532701,8.346702,9.392946,9.153182,8.771012
30,41.55623,42.102602,42.808817,48.91336,43.14158,32.757609,32.375439,31.714271,33.337402,31.510835,35.594092,21.039676,22.610495,22.93454,23.084211,21.583142,21.493048,12.912395,11.579887,11.919916,12.521506,12.909488,13.195752,9.910256,8.98462,9.942224,9.87974,10.026505,9.552789,8.868371,9.50193,9.394399,8.993339,8.736137,9.36679,9.27379,8.839309,8.856746,8.478936,9.006417,8.566123,8.955558,9.50193,8.545779,8.33653,9.392946,9.154635,8.773918
31,44.200902,44.767618,45.511614,52.117482,46.126282,35.659483,35.45314,34.511521,36.281417,34.379287,38.709575,23.972065,25.561775,25.920695,26.089256,24.554765,24.349876,14.765118,13.197205,13.61425,14.257981,14.789821,15.147288,10.296785,9.249088,10.331659,10.28516,10.458081,9.904443,8.898886,9.535351,9.422008,8.997698,8.763747,9.417649,9.291228,8.850934,8.859652,8.493467,9.018042,8.571935,8.959917,9.512102,8.550138,8.339436,9.406024,9.153182,8.778278
32,46.823778,47.399212,48.122864,55.164668,49.015078,38.578794,38.49306,37.246286,39.192009,37.073365,41.84976,27.010532,28.581351,28.957709,29.124817,27.613576,27.119516,16.970949,15.119679,15.599207,16.38389,17.029074,17.435947,10.97539,9.759131,10.984109,10.991374,11.155577,10.497315,8.951199,9.600742,9.513555,9.060182,8.827684,9.45543,9.295587,8.864012,8.875637,8.515264,9.042745,8.587919,8.981714,9.516461,8.553045,8.323452,9.406024,9.18515,8.78409
33,49.276639,49.895667,50.658553,58.063635,51.703344,41.364419,41.495199,39.946177,42.021227,39.777615,44.821383,30.019937,31.542803,31.967113,32.192346,30.673839,29.966172,19.422357,17.244135,17.81521,18.767002,19.474669,19.958557,12.056509,10.571424,12.023087,12.09429,12.268664,11.449106,9.025308,9.706819,9.683569,9.172072,8.949745,9.549883,9.336275,8.904699,8.885808,8.54142,9.039839,8.605357,8.968636,9.523727,8.574841,8.333624,9.43654,9.186603,8.811699
34,51.590001,52.232278,52.966102,60.743182,54.305876,44.142778,44.30698,42.473147,44.625212,42.361257,47.631711,32.975576,34.456302,34.899503,35.145079,33.705041,32.79539,21.982749,19.449966,20.119853,21.262003,22.032155,22.610495,13.596813,11.725198,13.470391,13.598266,13.782811,12.775802,9.144463,9.913162,9.969833,9.384227,9.14301,9.708272,9.384227,8.955558,8.89598,8.58356,9.048557,8.646044,8.986073,9.52082,8.579201,8.330718,9.427821,9.198228,8.795715
35,53.903362,54.539827,55.241683,63.348621,56.837205,46.716247,47.128932,44.975414,47.256807,44.86207,50.423148,35.913778,37.329114,37.797017,38.0455,36.675211,35.451687,24.573656,21.696485,22.46809,23.804957,24.598359,25.276964,15.471333,13.187034,15.250459,15.49313,15.703832,14.474495,9.352259,10.269175,10.455174,9.74896,9.471414,9.99163,9.464149,9.03112,8.916324,8.682372,9.067448,8.708528,8.968636,9.516461,8.598091,8.326358,9.427821,9.217119,8.813153
36,56.056881,56.720956,57.386483,65.798575,59.144754,49.280998,49.830276,47.45879,49.820105,47.293135,53.060555,38.80548,40.140894,40.662563,40.900874,39.622132,38.224234,27.208156,24.012753,24.874451,26.416208,27.325859,28.050964,17.688789,14.977273,17.360385,17.682977,17.944538,16.484155,9.747507,10.831532,11.219514,10.330206,10.078817,10.492955,9.596382,9.127026,8.903246,8.798621,9.079073,8.884355,9.018042,9.545523,8.593732,8.337983,9.453977,9.225838,8.820418
37,58.133385,58.748053,59.423752,68.122109,61.446491,51.84139,52.422636,49.817198,52.278778,49.628293,55.648555,41.650683,42.938144,43.468532,43.732999,42.547256,40.934296,29.863,26.318849,27.312781,29.044896,30.019937,30.826417,20.16054,16.976762,19.673746,20.100963,20.361071,18.679815,10.330206,11.749901,12.357304,11.220967,10.972484,11.252935,9.796912,9.342087,8.913418,9.065995,9.097963,9.154635,9.044198,9.564414,8.593732,8.349608,9.453977,9.218572,8.826231
38,60.054405,60.728651,61.309898,70.473252,63.653775,54.217236,54.930716,52.079701,54.631374,51.921311,58.178432,44.434854,45.633675,46.161157,46.477936,45.343052,43.474344,32.474251,28.619133,29.736579,31.686662,32.690765,33.565542,22.745635,19.117203,22.101904,22.601776,22.928728,21.096348,11.290716,13.072237,13.83803,12.419788,12.162586,12.421241,10.216863,9.741694,8.923589,9.500477,9.079073,9.541164,9.020948,9.554242,8.628607,8.371405,9.467055,9.259259,8.856746
39,61.866442,62.552313,63.110309,72.545396,65.72156,56.603253,57.485295,54.301516,56.906954,54.12133,60.603683,47.19287,48.348097,48.933703,49.233045,48.217317,46.148079,35.171236,30.965916,32.218502,34.366209,35.431343,36.3904,25.523994,21.401502,24.68264,25.275511,25.640243,23.626224,12.568006,14.763665,15.732894,13.974623,13.746484,13.941201,10.832985,10.302597,8.925042,10.177629,9.106682,10.235754,9.034026,9.552789,8.612622,8.353968,9.456883,9.2549,8.842215
40,63.656681,64.374521,64.890377,74.5289,67.713783,58.987818,59.970124,56.569831,59.227582,56.348958,63.056544,49.974135,51.036363,51.719328,52.028842,51.117738,48.757876,37.939423,33.359199,34.757097,37.170724,38.235859,39.264665,28.437493,23.848551,27.414499,28.055323,28.48254,26.272349,14.256528,16.873591,17.945991,15.825893,15.638441,15.856409,11.789135,11.232592,8.943933,11.194811,9.11976,11.234045,9.051464,9.565867,8.611169,8.362686,9.472867,9.251994,8.855293
