SCresultID,runID,pcrChemistryID,standardCurveID,wellLocation,sampleName,copyNumber,control,standardConc,userProvidedThresholdValue,userProvidedCqValue,systemCalculatedThresholdValue,systemCalculatedCqValue,Cycle_Number1,Cycle_Number2,Cycle_Number3,Cycle_Number4,Cycle_Number5,Cycle_Number6,Cycle_Number7,Cycle_Number8,Cycle_Number9,Cycle_Number10,Cycle_Number11,Cycle_Number12,Cycle_Number13,Cycle_Number14,Cycle_Number15,Cycle_Number16,Cycle_Number17,Cycle_Number18,Cycle_Number19,Cycle_Number20,Cycle_Number21,Cycle_Number22,Cycle_Number23,Cycle_Number24,Cycle_Number25,Cycle_Number26,Cycle_Number27,Cycle_Number28,Cycle_Number29,Cycle_Number30,Cycle_Number31,Cycle_Number32,Cycle_Number33,Cycle_Number34,Cycle_Number35,Cycle_Number36,Cycle_Number37,Cycle_Number38,Cycle_Number39,Cycle_Number40,Cycle_Number41,Cycle_Number42,Cycle_Number43,Cycle_Number44,Cycle_Number45,Cycle_Number46,Cycle_Number47,Cycle_Number48,Cycle_Number49,Cycle_Number50,Cycle_Number51,Cycle_Number52,Cycle_Number53,Cycle_Number54,Cycle_Number55,Cycle_Number56,Cycle_Number57,Cycle_Number58,Cycle_Number59,Cycle_Number60,Cycle_Number61,Cycle_Number62,Cycle_Number63,Cycle_Number64,Cycle_Number65,Cycle_Number66,Cycle_Number67,Cycle_Number68,Cycle_Number69,Cycle_Number70
23,2,2,1,23,,,,5704,9.73,27.94804441,,0,9.18974,9.205783,9.172238,9.045352,8.950553,8.930134,8.952011,8.970971,8.940343,8.941802,8.960762,8.979722,8.995765,8.997223,9.004515,8.973888,8.997223,9.005974,9.011808,9.016183,9.042435,9.03806,9.064312,9.086189,9.112441,9.233493,9.402674,9.66228,10.095442,10.742997,11.632656,12.717748,13.953061,15.316719,16.78101,18.248218,19.681881,21.15784,22.754851,24.273105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,2,2,1,24,,,,570.4,9.73,30.56701413,,0,9.326835,9.338502,9.306416,9.218909,9.103691,9.036602,9.043894,9.068688,9.033685,9.039518,9.058478,9.065771,9.074521,9.084731,9.097857,9.059937,9.07598,9.089106,9.099315,9.086189,9.112441,9.106607,9.127026,9.128484,9.115358,9.163487,9.194115,9.239327,9.313708,9.47268,9.767289,10.280666,11.056565,12.071651,13.305506,14.603533,15.923437,17.326473,18.833059,20.209843,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,2,2,1,25,,,,570.4,9.73,30.04729981,,0,9.45372,9.506225,9.466846,9.392465,9.259745,9.215992,9.220367,9.245161,9.208699,9.211616,9.21745,9.237869,9.242244,9.253912,9.265579,9.227659,9.250995,9.261204,9.265579,9.265579,9.288915,9.296207,9.306416,9.31225,9.302041,9.348711,9.382256,9.408508,9.498932,9.627277,9.929177,10.419219,11.180534,12.197079,13.448435,14.759588,16.088243,17.505863,19.037243,20.470907,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,2,2,1,26,,,,570.4,9.73,8.569275709,,0,9.885424,9.878131,9.808125,9.698741,9.656446,9.650612,9.679781,9.695824,9.660821,9.668114,9.706033,9.738119,9.755621,9.761455,9.773122,9.742495,9.768747,9.778956,9.794999,9.793541,9.818335,9.812501,9.824168,9.827085,9.827085,9.866464,9.894174,9.923344,9.991891,10.127528,10.413385,10.913636,11.674951,12.710455,13.972021,15.331303,16.703712,18.181129,19.743137,21.230763,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,2,2,1,27,,,,570.4,9.73,26.39969012,,0,9.631652,9.617068,9.509142,9.481431,9.462471,9.455179,9.485806,9.513517,9.482889,9.503308,9.525185,9.551437,9.573314,9.582065,9.612692,9.584981,9.6054,9.634569,9.646237,9.640403,9.666655,9.668114,9.688532,9.68999,9.676864,9.724993,9.751246,9.780415,9.853338,10.015226,10.305459,10.839255,11.632656,12.684203,13.990981,15.366306,16.728505,18.203006,19.773764,21.249723,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,2,2,1,28,,,,570.4,9.73,30.48825665,,0,9.103691,9.048269,9.049728,9.055561,9.040977,9.032226,9.059937,9.074521,9.045352,9.052645,9.070146,9.080355,9.100774,9.103691,9.124109,9.086189,9.108066,9.128484,9.140152,9.135777,9.15182,9.156195,9.178072,9.178072,9.162029,9.199949,9.239327,9.262662,9.344336,9.493099,9.789165,10.308376,11.085734,12.113946,13.346343,14.656038,15.9774,17.400854,18.91765,20.352772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,2,2,1,29,,,,570.4,9.73,32.00671734,,0,8.711366,8.739076,8.727409,8.685113,8.6224,8.501348,8.473637,8.476554,8.450302,8.454677,8.482388,8.48968,8.504265,8.513015,8.534892,8.502806,8.523225,8.540726,8.548018,8.54656,8.569895,8.578646,8.596147,8.601981,8.585938,8.632609,8.666153,8.68803,8.76387,8.892214,9.16057,9.606858,10.296709,11.198035,12.303546,13.489272,14.686665,15.921978,17.279802,18.554494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,2,2,1,30,,,,57.04,9.73,35.35558811,,0,8.671987,8.696781,8.670529,8.61219,8.5276,8.447385,8.447385,8.459052,8.440092,8.444468,8.467803,8.480929,8.491138,8.499889,8.507182,8.486763,8.507182,8.515932,8.5276,8.5276,8.543643,8.539268,8.548018,8.548018,8.539268,8.564061,8.581563,8.575729,8.587397,8.590314,8.634067,8.690947,8.797415,9.022017,9.446428,10.028352,10.757581,11.672034,12.730874,13.807215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,2,2,1,31,,,,57.04,9.73,22.42861318,,0,9.703117,9.735203,9.695824,9.659363,9.549978,9.428927,9.36913,9.392465,9.366213,9.36913,9.395382,9.409967,9.423093,9.428927,9.439136,9.417259,9.437677,9.443511,9.452262,9.447886,9.474139,9.465388,9.474139,9.478514,9.46393,9.504766,9.509142,9.513517,9.517892,9.545603,9.570397,9.622901,9.685615,9.848962,10.169823,10.671532,11.330755,12.245208,13.37697,14.571447,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,2,2,1,32,,,,57.04,9.73,14.8413249,,0,9.95543,9.953971,9.937928,9.892716,9.770206,9.633111,9.631652,9.672489,9.631652,9.64332,9.665197,9.682698,9.692907,9.697283,9.711867,9.694366,9.720618,9.733744,9.741036,9.732286,9.76583,9.751246,9.773122,9.774581,9.761455,9.796458,9.802292,9.808125,9.808125,9.830002,9.853338,9.895633,9.962722,10.117318,10.452764,10.948639,11.619529,12.550025,13.702206,14.920018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
